,0
796,TEL UN Equity
158,TER UN Equity
1131,TER UW Equity
755,TEX UN Equity
394,TFC UN Equity
969,TFCF UW Equity
643,TFCFA UN Equity
811,TFCFA UW Equity
1102,TFX UN Equity
77,TGNA UN Equity
344,TGT UN Equity
372,THC UN Equity
781,TIE UN Equity
516,TIF UN Equity
279,TIN UN Equity
163,TJX UN Equity
20,TKR UN Equity
291,TLAB UQ Equity
741,TLAB UW Equity
161,TMO UN Equity
871,TMUS UN Equity
1113,TMUS UW Equity
296,TNB UN Equity
750,TNL UN Equity
211,TOS UN Equity
411,TOY UN Equity
640,TPR UN Equity
382,TRB UN Equity
904,TRIP UW Equity
292,TROW UQ Equity
719,TROW UW Equity
18,TRV UN Equity
958,TSCO UW Equity
1132,TSLA UW Equity
651,TSN UN Equity
814,TSS UN Equity
88,TT UN Equity
1077,TTWO UW Equity
297,TUP UN Equity
868,TWC UN Equity
1073,TWTR UN Equity
419,TWX UN Equity
460,TXN UN Equity
915,TXN UW Equity
159,TXT UN Equity
281,TXU US Equity
1124,TYL UN Equity
1015,UA UN Equity
951,UAA UN Equity
989,UAL UN Equity
1086,UAL UW Equity
202,UAWGQ UN Equity
236,UCM UN Equity
998,UDR UN Equity
954,UHS UN Equity
466,UIS UN Equity
1008,ULTA UW Equity
443,UMGI UN Equity
2,UN UN Equity
169,UNH UN Equity
171,UNM UN Equity
167,UNP UN Equity
601,UPS UN Equity
882,URBN UW Equity
960,URI UN Equity
222,USB UN Equity
241,USW UN Equity
874,V UN Equity
795,VALPQ UN Equity
774,VAR UN Equity
176,VFC UN Equity
742,VIAB UN Equity
903,VIAB UW Equity
435,VIAC UN Equity
1096,VIAC UW Equity
548,VIAV UQ Equity
725,VIAV UW Equity
637,VLO UN Equity
179,VMC UN Equity
650,VNO UN Equity
1130,VNT UN Equity
974,VRSK UW Equity
669,VRSN UW Equity
943,VRTX UW Equity
551,VSTNQ UN Equity
854,VTR UN Equity
1119,VTRS UW Equity
556,VTSS UQ Equity
6,VZ UN Equity
1106,WAB UN Equity
272,WAMUQ UN Equity
602,WAT UN Equity
407,WBA UN Equity
953,WBA UW Equity
1087,WCG UN Equity
203,WCOEQ UQ Equity
855,WDC UN Equity
921,WDC UW Equity
815,WEC UN Equity
858,WELL UN Equity
376,WFC UN Equity
720,WFM UW Equity
659,WFTIQ UN Equity
184,WHR UN Equity
752,WINMQ UN Equity
869,WINMQ UW Equity
244,WLA UN Equity
226,WM UN Equity
185,WMB UN Equity
315,WMT UN Equity
414,WNDXQ UN Equity
554,WOR UN Equity
340,WOR UQ Equity
920,WPX UN Equity
1093,WRB UN Equity
986,WRK UN Equity
1120,WST UN Equity
1005,WTW UW Equity
733,WU UN Equity
117,WWY UN Equity
183,WY UN Equity
106,WYE UN Equity
840,WYNN UW Equity
174,X UN Equity
965,XEC UN Equity
259,XEL UN Equity
1071,XEL UW Equity
493,XLNX UQ Equity
721,XLNX UW Equity
11,XOM UN Equity
819,XRAY UW Equity
99,XRX UN Equity
627,XTO UN Equity
906,XYL UN Equity
458,YUM UN Equity
563,ZBH UN Equity
1103,ZBRA UW Equity
567,ZION UQ Equity
722,ZION UW Equity
931,ZTS UN Equity
