Date,AU,GR,CA,JP,NZ,SW,SZ,UK,US
1991-11-29,0.011564,0.031932,-0.006573,0.010313,0.012518,0.026989,0.026808,0.018436,0.000000
1991-12-31,-0.027941,0.075646,-0.016359,0.042650,-0.035582,0.082517,0.057196,0.063036,0.000000
1992-01-31,-0.009508,-0.053617,-0.013095,-0.001637,0.003153,-0.043729,-0.045745,-0.037862,0.000000
1992-02-28,0.006429,-0.011006,-0.004754,-0.029754,0.014710,-0.007892,-0.033315,-0.010755,0.000000
1992-03-31,0.023102,-0.000811,-0.004216,-0.029173,0.003986,-0.000968,-0.008107,-0.007611,0.000000
1992-04-30,-0.013421,-0.002303,-0.002766,-0.001554,-0.016394,0.005040,-0.010963,0.024740,0.000000
1992-05-29,0.003555,0.034858,-0.004005,0.044958,-0.001914,0.039060,0.046096,0.037781,0.000000
1992-06-30,-0.011994,0.058417,0.008636,0.014204,0.019266,0.057149,0.065273,0.044472,0.000000
1992-07-31,-0.002250,0.037733,0.011742,-0.009038,0.003877,0.032976,0.051352,0.015140,0.000000
1992-08-31,-0.037537,0.058216,-0.007496,0.034448,-0.005704,0.050377,0.055835,0.039869,0.000000
1992-09-30,-0.001138,0.001054,-0.049292,0.027217,-0.005058,-0.020624,0.023890,-0.097037,0.000000
1992-10-30,-0.022536,-0.079825,0.013160,-0.027126,-0.019455,-0.076090,-0.100721,-0.114816,0.000000
1992-11-30,-0.015964,-0.030274,-0.032362,-0.009870,-0.026137,-0.147845,-0.045922,-0.030966,0.000000
1992-12-31,0.011291,-0.007630,0.017848,-0.001493,0.009198,-0.019730,-0.012642,0.006947,0.000000
1993-01-29,-0.012832,0.009143,0.002329,0.000856,0.008041,-0.027107,-0.011920,-0.012362,0.000000
1993-02-26,0.025686,-0.017230,0.018817,0.057189,0.017391,-0.062918,-0.022555,-0.045213,0.000000
1993-03-31,0.016410,0.024690,-0.001528,0.026851,0.019852,0.017976,0.021130,0.062156,0.000000
1993-04-30,0.004694,0.021003,-0.011435,0.036102,0.022419,0.064045,0.047569,0.045446,0.000000
1993-05-31,-0.040233,0.001162,0.001871,0.035748,0.001207,0.021435,0.006487,-0.003009,0.000000
1993-06-30,-0.018894,-0.055338,-0.004926,0.013639,-0.007101,-0.058914,-0.046740,-0.031993,0.000000
1993-07-30,0.039039,-0.026457,-0.000426,0.010002,0.034349,-0.069823,-0.017030,-0.017123,0.000000
1993-08-31,-0.024093,0.041347,-0.026665,-0.000861,-0.000176,0.017864,0.032515,0.009784,0.000000
1993-09-30,-0.037304,0.031938,-0.007029,-0.009869,-0.001589,0.017694,0.038167,0.007565,0.000000
1993-10-29,0.033166,-0.022797,0.009497,-0.024146,0.008366,-0.005680,-0.035205,-0.004597,0.000000
1993-11-30,-0.008256,-0.017023,-0.010464,-0.007175,-0.012415,-0.032560,-0.005600,0.002405,0.000000
1993-12-31,0.030679,-0.013554,0.010207,-0.024412,0.025270,0.014992,0.004290,-0.004446,0.000000
1994-01-31,0.046168,-0.002376,-0.001328,0.022384,0.016633,0.054995,0.013190,0.014639,0.000000
1994-02-28,0.006225,0.024433,-0.018684,0.046193,0.014236,-0.004221,0.027980,-0.006474,0.000000
1994-03-31,-0.015879,0.024531,-0.025117,0.012526,-0.022308,0.024388,0.013784,-0.000347,0.000000
1994-04-29,0.019044,0.010047,0.002410,0.011537,0.027694,0.024652,0.002066,0.023077,0.000000
1994-05-31,0.035759,0.009604,-0.001758,-0.031823,0.032589,-0.015443,0.003313,-0.001890,0.000000
1994-06-30,-0.011306,0.033843,0.004548,0.059316,0.002315,0.016701,0.048533,0.022006,0.000000
1994-07-29,0.012438,0.001712,0.001663,-0.017607,0.012602,-0.008920,-0.006202,-0.004774,0.000000
1994-08-31,0.007836,0.007122,0.008877,-0.002334,0.002359,0.007195,0.011676,0.000950,0.000000
1994-09-30,-0.005144,0.018162,0.024046,0.011164,0.002098,0.036629,0.032931,0.027494,0.000000
1994-10-31,0.002399,0.028918,-0.008517,0.017965,0.024565,0.039648,0.022803,0.034281,0.000000
1994-11-30,0.037309,-0.039949,-0.016364,-0.022084,0.021548,-0.041074,-0.053893,-0.039431,0.000000
1994-12-30,0.009985,0.013165,-0.019609,-0.011345,0.022408,0.015436,0.013862,-0.000956,0.000000
1995-01-31,-0.022619,0.022043,-0.009118,0.004530,0.001321,-0.002129,0.023965,0.014689,0.000000
1995-02-28,-0.024729,0.034009,0.017571,0.020256,-0.007362,0.016423,0.026320,-0.004351,0.000000
1995-03-31,-0.003093,0.069968,-0.007098,0.117339,0.035399,-0.001550,0.101313,0.031345,0.000000
1995-04-28,-0.006561,-0.010869,0.032881,0.024952,0.031649,0.016199,-0.016154,-0.012145,0.000000
1995-05-31,-0.009434,-0.023389,-0.004201,-0.011624,-0.010776,-0.007778,-0.024476,-0.012241,0.000000
1995-06-30,-0.014162,0.019518,-0.002247,-0.006971,0.008429,0.010325,0.011302,0.001292,0.000000
1995-07-31,0.044251,0.001104,0.001707,-0.039323,0.010527,0.036051,0.002776,0.006228,0.000000
1995-08-31,0.020017,-0.061647,0.022843,-0.105722,-0.033085,-0.032060,-0.052322,-0.031232,0.000000
1995-09-29,0.003970,0.032073,-0.001014,-0.010521,0.015720,0.056627,0.048597,0.022666,0.000000
1995-10-31,0.008947,0.008680,0.002153,-0.040280,0.004921,0.045944,0.008539,-0.002422,0.000000
1995-11-30,-0.021282,-0.027046,-0.008826,0.002527,-0.008927,0.014562,-0.035022,-0.030147,0.000000
1995-12-29,0.001563,0.008314,-0.003985,-0.020541,0.003334,-0.007456,0.017038,0.015209,0.000000
1996-01-31,0.002384,-0.039656,-0.008579,-0.040285,0.031783,-0.043775,-0.052967,-0.026164,0.000000
1996-02-29,0.028512,0.010811,0.002943,0.012583,0.003325,0.031942,0.006845,0.013916,0.000000
1996-03-29,0.024701,-0.005924,0.007544,-0.019000,0.014357,0.012895,0.004088,-0.002061,0.000000
1996-04-30,0.007000,-0.039284,0.000770,0.015164,0.011438,-0.015199,-0.047094,-0.016650,0.000000
1996-05-31,0.017344,0.002227,-0.007496,-0.035066,-0.007258,0.011269,-0.009481,0.033205,0.000000
1996-06-28,-0.012823,0.001897,0.003674,-0.018520,0.011524,0.014854,-0.001636,0.003261,0.000000
1996-07-31,-0.015711,0.031726,-0.006757,0.023295,0.010469,0.004728,0.043246,0.002266,0.000000
1996-08-30,0.025237,-0.005162,0.003907,-0.021671,0.004401,-0.001024,-0.002872,0.003983,0.000000
1996-09-30,0.001121,-0.033343,0.003252,-0.028940,0.016430,-0.001572,-0.046567,0.000117,0.000000
1996-10-31,0.003110,0.005771,0.015231,-0.025837,0.015609,0.008395,-0.008051,0.041407,0.000000
1996-11-29,0.028399,-0.017449,-0.006294,-0.004070,0.009428,-0.022361,-0.036580,0.032750,0.000000
1996-12-31,-0.024395,-0.004453,-0.019035,-0.024697,-0.004877,-0.018032,-0.032683,0.018961,0.000000
1997-01-31,-0.040003,-0.061169,0.014861,-0.048289,-0.023303,-0.057815,-0.059729,-0.063012,0.000000
1997-02-28,0.018418,-0.031831,-0.015665,0.001973,0.005911,-0.036508,-0.038084,0.018801,0.000000
1997-03-31,0.010367,0.010497,-0.012403,-0.029111,0.005669,-0.005067,0.021261,0.007188,0.000000
1997-04-30,-0.002396,-0.038746,-0.013714,-0.028998,0.000406,-0.041301,-0.025374,-0.011609,0.000000
1997-05-30,-0.025712,0.013288,0.011325,0.084757,-0.003316,0.014036,0.038736,0.008730,0.000000
1997-06-30,-0.016401,-0.023498,-0.002801,0.013851,-0.017834,-0.001862,-0.034018,0.017584,0.000000
1997-07-31,-0.005547,-0.053849,-0.004002,-0.038179,-0.044523,-0.030593,-0.039879,-0.015683,0.000000
1997-08-29,-0.014715,0.018418,-0.006236,-0.019733,-0.012181,0.013425,0.015907,-0.008584,0.000000
1997-09-30,-0.015104,0.017055,0.002234,-0.007959,0.004335,0.034387,0.018126,-0.002701,0.000000
1997-10-31,-0.027702,0.023830,-0.020679,-0.000780,-0.024203,0.011967,0.035923,0.039477,0.000000
1997-11-28,-0.029892,-0.025858,-0.011479,-0.061028,-0.009033,-0.031621,-0.023259,0.005949,0.000000
1997-12-31,-0.048865,-0.020996,-0.008026,-0.024137,-0.058796,-0.028497,-0.026537,-0.022211,0.000000
1998-01-30,0.050992,-0.018242,-0.022037,0.020552,0.008812,-0.022423,-0.014838,-0.004954,0.000000
1998-02-27,-0.006393,0.005752,0.026368,-0.000213,0.005999,0.012136,0.002181,0.008516,0.000000
1998-03-31,-0.027386,-0.020752,-0.000007,-0.057107,-0.057528,0.000607,-0.042288,0.018682,0.000000
1998-04-30,-0.017561,0.028865,-0.006595,0.005158,0.009421,0.032203,0.012967,0.000034,0.000000
1998-05-29,-0.040040,0.005051,-0.017536,-0.050530,-0.033862,-0.012726,0.010771,-0.023488,0.000000
1998-06-30,-0.010830,-0.014074,-0.011052,-0.006165,-0.025328,-0.018766,-0.029052,0.024663,0.000000
