Date,LnShEq,EqMktNtr,DedShBs,GlobalMac ,MngdFut ,EmgMkts,EvntDrvn , CnvrtArb ,FxIncArb ,HFIndex,LRF,MktRF,SMB,HML,RMW,CMA,UMD,BondMkt,CreditS,PTFSBD,PTFSFX,PTFSCOM,LiqPS,LiqSadka,AlphaQuest,Transtrend,VFINX,VEXMX,NAESX,VVIAX,VBINX,VIMSX,VISGX,VISVX,MTUM,TSMOM,TSMOMCM,TSMOMEQ,TSMOMFI,TSMOMFX
1998-06-30,0.034,0.0047,-0.0234,0.0328,0.0091,-0.0468,-0.0079,-0.0037,-0.0108,0.0159,0.0041,0.0318,-0.0365,-0.0197,-0.0027,-0.0297,0.0728,-0.0015,-0.0002,0.012,0.024,0.054,0.0168,-0.0002,,1.36%,4.07%,1.40%,-0.11%,,2.48%,0.82%,0.51%,0.00%,,2.99%,3.27%,1.73%,-0.07%,6.43%
1998-07-31,0.0061,-0.001,0.0272,0.018,-0.0112,0.0008,0.0004,0.0052,0.0048,0.009,0.004,-0.0246,-0.0527,-0.0178,0.0174,0.0045,0.0374,-0.0004,0.0006,-0.149,-0.213,-0.016,0.0107,-0.0011,,-4.75%,-1.06%,-5.90%,-8.01%,,-1.25%,-3.94%,-5.94%,-9.15%,,4.43%,9.19%,0.38%,1.44%,0.96%
1998-08-31,-0.1143,-0.0085,0.2271,-0.0484,0.0995,-0.2303,-0.1177,-0.0464,-0.0146,-0.0755,0.0043,-0.1608,-0.0518,0.0353,0.0339,0.0589,0.0184,-0.0012,0.0011,0.689,0.135,0.231,-0.0274,0.0002,,19.57%,-14.47%,-19.35%,-19.30%,,-8.53%,-18.42%,-20.57%,-17.90%,,6.31%,6.36%,-17.33%,21.22%,9.03%
1998-09-30,0.0347,0.0095,-0.0498,-0.0512,0.0687,-0.074,-0.0296,-0.0323,-0.0374,-0.0231,0.0046,0.0615,-0.0077,-0.0342,-0.0189,-0.0297,-0.0081,-0.0053,0.0048,0.329,0.12,-0.076,0.0438,-0.0033,,1.93%,6.41%,7.17%,7.55%,,4.56%,9.29%,7.12%,5.45%,,0.76%,-7.12%,-8.23%,28.86%,-4.81%
1998-10-31,0.0174,0.0248,-0.0869,-0.1155,0.0121,0.0168,0.0066,-0.0468,-0.0696,-0.0457,0.0032,0.0713,-0.0343,-0.0223,0.0093,0.0032,-0.0537,-0.0028,0.0037,-0.036,0.302,-0.08,0.0242,0.0002,,0.86%,8.17%,5.83%,4.20%,,4.22%,8.97%,4.86%,4.39%,,-1.15%,0.45%,4.72%,-3.90%,-6.01%
1998-11-30,0.0374,0.021,-0.0712,-0.0108,-0.018,0.0468,0.0277,0.0206,0.0155,0.0136,0.0031,0.061,0.0074,-0.0325,-0.0085,-0.012,0.012,0.003,-0.0014,-0.097,-0.142,-0.025,0.0116,-0.0011,,-1.06%,6.07%,6.25%,5.30%,,3.96%,5.09%,7.20%,4.33%,,3.23%,6.09%,5.94%,-0.85%,-0.45%
1998-12-31,0.0656,0.0124,-0.0575,0.0234,0.028,-0.0384,0.017,0.0035,0.0173,0.0303,0.0038,0.0616,-0.0157,-0.0419,-0.0075,-0.034,0.0891,-0.0018,0.0007,-0.037,0.095,0.087,0.029,-0.0008,,2.70%,5.80%,8.56%,6.24%,,3.98%,12.16%,8.76%,4.39%,,3.86%,8.22%,4.51%,-3.71%,2.23%
1999-01-31,0.0497,0.0069,-0.0718,-0.0288,-0.0314,-0.0292,0.0188,0.0227,0.019,0.008,0.0035,0.035,-0.0074,-0.046,-0.0279,-0.0677,0.0303,0.0007,-0.0001,0.073,-0.13,-0.051,0.0504,0.0011,,-3.86%,4.21%,1.50%,1.23%,,2.48%,-3.77%,-1.26%,-1.14%,,-0.29%,1.94%,1.07%,3.39%,-9.47%
1999-02-28,-0.0314,0.0061,0.0559,-0.016,-0.0054,0.0117,-0.0005,0.0122,0.0152,-0.0131,0.0035,-0.0408,-0.0523,0.0192,-0.0121,0.0407,-0.001,0.0028,-0.0018,0.224,0.229,0.075,0.0204,-0.0002,,1.22%,-3.12%,-5.48%,-8.12%,,-2.92%,-5.16%,-9.75%,-8.16%,,-2.59%,5.35%,-0.89%,-18.32%,-3.99%
1999-03-31,0.0376,0.0135,-0.0177,-0.02,-0.0107,0.0743,0.0239,0.0104,0.0134,0.0122,0.0043,0.0345,-0.0423,-0.0274,-0.0407,-0.0141,-0.0127,0.0023,-0.0009,-0.136,-0.115,-0.003,-0.0037,-0.0021,,-2.77%,3.99%,3.56%,1.49%,,2.58%,2.92%,2.93%,-0.38%,,-3.84%,-9.42%,-0.76%,5.68%,-4.53%
